Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:48:00.664673,59.4884185791
Black,2013-08-02 10:48:00.749374,59.2441329956
Black,2013-08-02 10:48:00.840358,58.9851417542
Black,2013-08-02 10:48:00.927092,58.7265205383
Black,2013-08-02 10:48:01.011530,58.4800720215
Black,2013-08-02 10:48:01.100127,58.2328147888
Black,2013-08-02 10:48:01.191267,60.8741836548
Black,2013-08-02 10:48:01.283243,60.6063690186
Black,2013-08-02 10:48:01.382170,60.3302764893
Black,2013-08-02 10:48:01.481381,60.0530281067
Black,2013-08-02 10:48:01.579814,59.7643508911
Black,2013-08-02 10:48:01.677976,59.4915809631
Black,2013-08-02 10:48:01.770855,59.2211761475
Black,2013-08-02 10:48:01.863981,58.9572792053
Black,2013-08-02 10:48:01.958918,58.7153739929
Black,2013-08-02 10:48:02.054799,52.8802337646
Black,2013-08-02 10:48:02.146913,52.6499252319
Black,2013-08-02 10:48:02.243354,60.7006416321
Black,2013-08-02 10:48:02.331618,60.4417076111
Black,2013-08-02 10:48:02.425009,60.1848602295
Black,2013-08-02 10:48:02.513308,59.9474067688
Black,2013-08-02 10:48:02.602127,59.7038917542
Black,2013-08-02 10:48:02.693618,59.4666519165
Black,2013-08-02 10:48:02.786275,59.2325363159
Black,2013-08-02 10:48:02.880955,58.9652900696
Black,2013-08-02 10:48:02.963546,58.7402687073
Black,2013-08-02 10:48:03.055907,53.191696167
Black,2013-08-02 10:48:03.149342,52.9696922302
Black,2013-08-02 10:48:03.249448,52.7536087036
Black,2013-08-02 10:48:03.341864,60.4062576294
Black,2013-08-02 10:48:03.437274,60.1484260559
Black,2013-08-02 10:48:03.530845,59.9096679688
Black,2013-08-02 10:48:03.622410,59.6705551147
Black,2013-08-02 10:48:03.715035,59.4263343811
Black,2013-08-02 10:48:03.809218,59.1899452209
Black,2013-08-02 10:48:03.899885,58.9579162598
Black,2013-08-02 10:48:03.997336,58.7222862244
Black,2013-08-02 10:48:04.091087,53.4043159485
Black,2013-08-02 10:48:04.183394,53.1834869385
Black,2013-08-02 10:48:04.276642,52.9830513
Black,2013-08-02 10:48:04.370061,52.7784118652
Black,2013-08-02 10:48:04.461890,60.0851821899
Black,2013-08-02 10:48:04.557194,59.8505859375
Black,2013-08-02 10:48:04.656821,59.6076927185
Black,2013-08-02 10:48:04.743097,59.3859367371
Black,2013-08-02 10:48:04.839897,59.15102005
Black,2013-08-02 10:48:04.936349,58.9146690369
Black,2013-08-02 10:48:05.039906,58.6921691895
Black,2013-08-02 10:48:05.129962,58.4565467834
Black,2013-08-02 10:48:05.219823,53.3852996826
Black,2013-08-02 10:48:05.313198,53.1878967285
Black,2013-08-02 10:48:05.405674,52.993598938
Black,2013-08-02 10:48:05.499902,59.98985672
Black,2013-08-02 10:48:05.593334,59.7693214417
Black,2013-08-02 10:48:05.684344,59.5517883301
Black,2013-08-02 10:48:05.771969,59.3402709961
Black,2013-08-02 10:48:05.862851,59.1361312866
Black,2013-08-02 10:48:05.949107,58.928527832
Black,2013-08-02 10:48:06.033786,58.7292480469
Black,2013-08-02 10:48:06.125731,58.5286979675
Black,2013-08-02 10:48:06.214713,58.3136825562
Black,2013-08-02 10:48:06.297963,53.4769287109
Black,2013-08-02 10:48:06.387832,53.2890777588
